SpikeinID,Well
SDSI1,A01
SDSI2,B01
SDSI3,C01
SDSI4,D01
SDSI5,E01
SDSI6,F01
SDSI7,G01
SDSI8,H01
SDSI9,A02
SDSI10,B02
SDSI11,C02
SDSI12,D02
SDSI13,E02
SDSI14,F02
SDSI15,G02
SDSI16,H02
SDSI17,A03
SDSI18,B03
SDSI19,C03
SDSI20,D03
SDSI21,E03
SDSI22,F03
SDSI23,G03
SDSI24,H03
SDSI25,A04
SDSI26,B04
SDSI27,C04
SDSI28,D04
SDSI29,E04
SDSI30,F04
SDSI31,G04
SDSI32,H04
SDSI33,A05
SDSI34,B05
SDSI35,C05
SDSI36,D05
SDSI37,E05
SDSI38,F05
SDSI39,G05
SDSI40,H05
SDSI41,A06
SDSI42,B06
SDSI43,C06
SDSI44,D06
SDSI45,E06
SDSI46,F06
SDSI47,G06
SDSI48,H06
SDSI49,A07
SDSI50,B07
SDSI51,C07
SDSI52,D07
SDSI53,E07
SDSI54,F07
SDSI55,G07
SDSI56,H07
SDSI57,A08
SDSI58,B08
SDSI59,C08
SDSI60,D08
SDSI61,E08
SDSI62,F08
SDSI63,G08
SDSI64,H08
SDSI65,A09
SDSI66,B09
SDSI67,C09
SDSI68,D09
SDSI69,E09
SDSI70,F09
SDSI71,G09
SDSI72,H09
SDSI73,A10
SDSI74,B10
SDSI75,C10
SDSI76,D10
SDSI77,E10
SDSI78,F10
SDSI79,G10
SDSI80,H10
SDSI81,A11
SDSI82,B11
SDSI83,C11
SDSI84,D11
SDSI85,E11
SDSI86,F11
SDSI87,G11
SDSI88,H11
SDSI89,A12
SDSI90,B12
SDSI91,C12
SDSI92,D12
SDSI93,E12
SDSI94,F12
SDSI95,G12
SDSI96,H12
