new_name	old_name
Pf3D7_01_v3-0145449-0145622	Pf3D7_01_v3-145416-145655-1
Pf3D7_01_v3-0179903-0180115	Pf3D7_01_v3-179874-180148-1
Pf3D7_01_v3-0181557-0181673	Pf3D7_01_v3-181524-181699-1
Pf3D7_01_v3-0495971-0496143	Pf3D7_01_v3-495941-496171-1
Pf3D7_01_v3-0512199-0512388	Pf3D7_01_v3-512168-512418-1
Pf3D7_01_v3-0531682-0531900	Pf3D7_01_v3-531656-531930-1
Pf3D7_01_v3-0532690-0532844	Pf3D7_01_v3-532660-532872-1
Pf3D7_01_v3-0534215-0534368	Pf3D7_01_v3-534182-534397-1
Pf3D7_01_v3-0534941-0535110	Pf3D7_01_v3-534908-535143-1
Pf3D7_02_v3-0109807-0109982	Pf3D7_02_v3-109776-110014-1
Pf3D7_02_v3-0278165-0278336	Pf3D7_02_v3-278144-278369-1
Pf3D7_02_v3-0470492-0470676	Pf3D7_02_v3-470459-470709-1
Pf3D7_02_v3-0805822-0805942	Pf3D7_02_v3-805795-805970-1
Pf3D7_03_v3-0085440-0085646	Pf3D7_03_v3-85407-85679-1
Pf3D7_03_v3-0141963-0142181	Pf3D7_03_v3-141936-142210-1
Pf3D7_03_v3-0221363-0221495	Pf3D7_03_v3-221330-221521-1
Pf3D7_03_v3-0618396-0618581	Pf3D7_03_v3-618367-618613-1
Pf3D7_03_v3-0654002-0654175	Pf3D7_03_v3-653972-654204-1
Pf3D7_03_v3-0850816-0850989	Pf3D7_03_v3-850788-851017-1
Pf3D7_04_v3-0109912-0110087	Pf3D7_04_v3-109879-110114-1
Pf3D7_04_v3-0133491-0133701	Pf3D7_04_v3-133463-133726-1
Pf3D7_04_v3-0141778-0141945	Pf3D7_04_v3-141751-141975-1
Pf3D7_04_v3-0415653-0415826	Pf3D7_04_v3-415623-415859-1
Pf3D7_04_v3-0544718-0544861	Pf3D7_04_v3-544686-544888-1
Pf3D7_04_v3-0748230-0748436	Pf3D7_04_v3-748200-748469-1
Pf3D7_04_v3-0748533-0748696	Pf3D7_04_v3-748500-748725-1
Pf3D7_04_v3-0802525-0802713	Pf3D7_04_v3-802494-802740-1
Pf3D7_04_v3-1037634-1037844	Pf3D7_04_v3-1037602-1037868-1
Pf3D7_04_v3-1100656-1100831	Pf3D7_04_v3-1100629-1100863-1
Pf3D7_04_v3-1102389-1102578	Pf3D7_04_v3-1102362-1102606-1
Pf3D7_04_v3-1113450-1113604	Pf3D7_04_v3-1113422-1113632-1
Pf3D7_04_v3-1128489-1128673	Pf3D7_04_v3-1128461-1128705-1
Pf3D7_05_v3-0329378-0329550	Pf3D7_05_v3-329351-329578-1
Pf3D7_05_v3-0958059-0958221	Pf3D7_05_v3-958027-958254-1
Pf3D7_05_v3-0958389-0958506	Pf3D7_05_v3-958362-958539-1
Pf3D7_05_v3-1042162-1042281	Pf3D7_05_v3-1042129-1042311-1
Pf3D7_05_v3-1309609-1309744	Pf3D7_05_v3-1309581-1309771-1
Pf3D7_06_v3-0145343-0145501	Pf3D7_06_v3-145315-145530-1
Pf3D7_06_v3-0532195-0532378	Pf3D7_06_v3-532167-532405-1
Pf3D7_07_v3-0165235-0165422	Pf3D7_07_v3-165202-165450-1
Pf3D7_07_v3-0166035-0166167	Pf3D7_07_v3-166002-166197-1
Pf3D7_07_v3-0298886-0299005	Pf3D7_07_v3-298857-299033-1
Pf3D7_07_v3-0729975-0730088	Pf3D7_07_v3-729943-730118-1
Pf3D7_07_v3-1149415-1149585	Pf3D7_07_v3-1149387-1149613-1
Pf3D7_07_v3-1358694-1358911	Pf3D7_07_v3-1358666-1358941-1
Pf3D7_08_v3-0102326-0102500	Pf3D7_08_v3-102298-102527-1
Pf3D7_08_v3-0336468-0336647	Pf3D7_08_v3-336438-336674-1
Pf3D7_08_v3-0339168-0339357	Pf3D7_08_v3-339139-339389-1
Pf3D7_08_v3-0549993-0550218	Pf3D7_08_v3-549962-550251-1
Pf3D7_08_v3-0933023-0933143	Pf3D7_08_v3-932995-933173-1
Pf3D7_08_v3-1269320-1269456	Pf3D7_08_v3-1269294-1269485-1
Pf3D7_08_v3-1344686-1344819	Pf3D7_08_v3-1344653-1344847-1
Pf3D7_08_v3-1362891-1363087	Pf3D7_08_v3-1362863-1363120-1
Pf3D7_09_v3-0516928-0517092	Pf3D7_09_v3-516904-517125-1
Pf3D7_09_v3-0596133-0596334	Pf3D7_09_v3-596101-596365-1
Pf3D7_09_v3-0685601-0685792	Pf3D7_09_v3-685583-685825-1
Pf3D7_09_v3-1178894-1179078	Pf3D7_09_v3-1178862-1179111-1
Pf3D7_09_v3-1406405-1406541	Pf3D7_09_v3-1406375-1406572-1
Pf3D7_09_v3-1437114-1437303	Pf3D7_09_v3-1437081-1437331-1
Pf3D7_10_v3-0377095-0377209	Pf3D7_10_v3-377062-377237-1
Pf3D7_10_v3-0992371-0992544	Pf3D7_10_v3-992338-992572-1
Pf3D7_10_v3-1386700-1386869	Pf3D7_10_v3-1386672-1386902-1
Pf3D7_10_v3-1399544-1399711	Pf3D7_10_v3-1399515-1399741-1
Pf3D7_10_v3-1436479-1436682	Pf3D7_10_v3-1436451-1436714-1
Pf3D7_11_v3-0119486-0119693	Pf3D7_11_v3-119456-119726-1
Pf3D7_11_v3-1009856-1010038	Pf3D7_11_v3-1009831-1010071-1
Pf3D7_11_v3-1018953-1019085	Pf3D7_11_v3-1018920-1019113-1
Pf3D7_11_v3-1376185-1376372	Pf3D7_11_v3-1376159-1376402-1
Pf3D7_11_v3-1552430-1552640	Pf3D7_11_v3-1552397-1552667-1
Pf3D7_11_v3-1750865-1751055	Pf3D7_11_v3-1750833-1751083-1
Pf3D7_11_v3-1816211-1816425	Pf3D7_11_v3-1816181-1816452-1
Pf3D7_12_v3-0063166-0063280	Pf3D7_12_v3-63135-63313-1
Pf3D7_12_v3-0659891-0660010	Pf3D7_12_v3-659858-660037-1
Pf3D7_12_v3-0684088-0684261	Pf3D7_12_v3-684059-684289-1
Pf3D7_12_v3-0943258-0943428	Pf3D7_12_v3-943227-943456-1
Pf3D7_12_v3-1237431-1237603	Pf3D7_12_v3-1237407-1237636-1
Pf3D7_12_v3-2050130-2050314	Pf3D7_12_v3-2050103-2050346-1
Pf3D7_13_v3-0103659-0103879	Pf3D7_13_v3-103631-103905-1
