old_name	new_name
Pf3D7_03_v3-221463-221712	Pf3D7_03_v3-0221484-0221679
Pf3D7_03_v3-891553-891827	Pf3D7_03_v3-0891585-0891794
Pf3D7_04_v3-115455-115684	Pf3D7_04_v3-0115483-0115652
Pf3D7_04_v3-544454-544718	Pf3D7_04_v3-0544486-0544685
Pf3D7_04_v3-748105-748359	Pf3D7_04_v3-0748128-0748326
Pf3D7_04_v3-748374-748611	Pf3D7_04_v3-0748406-0748581
Pf3D7_05_v3-1322099-1322341	Pf3D7_05_v3-1322131-1322313
Pf3D7_05_v3-958079-958350	Pf3D7_05_v3-0958105-0958317
Pf3D7_05_v3-958372-958608	Pf3D7_05_v3-0958394-0958580
Pf3D7_05_v3-959183-959446	Pf3D7_05_v3-0959211-0959413
Pf3D7_05_v3-961511-961758	Pf3D7_05_v3-0961543-0961730
Pf3D7_06_v3-532166-532407	Pf3D7_06_v3-0532194-0532380
Pf3D7_07_v3-403487-403750	Pf3D7_07_v3-0403507-0403717
Pf3D7_08_v3-1099719-1099977	Pf3D7_08_v3-1099750-1099944
Pf3D7_08_v3-1375205-1375450	Pf3D7_08_v3-1375237-1375418
Pf3D7_08_v3-1377992-1378234	Pf3D7_08_v3-1378023-1378202
Pf3D7_08_v3-1382231-1382505	Pf3D7_08_v3-1382263-1382472
Pf3D7_08_v3-1386795-1387043	Pf3D7_08_v3-1386821-1387013
Pf3D7_08_v3-549583-549807	Pf3D7_08_v3-0549609-0549776
Pf3D7_08_v3-549960-550215	Pf3D7_08_v3-0549988-0550182
Pf3D7_09_v3-595828-596094	Pf3D7_09_v3-0595860-0596063
Pf3D7_12_v3-2092529-2092798	Pf3D7_12_v3-2092558-2092765
Pf3D7_12_v3-659881-660127	Pf3D7_12_v3-0659902-0660096
Pf3D7_13_v3-1419363-1419626	Pf3D7_13_v3-1419395-1419601
Pf3D7_13_v3-1465616-1465890	Pf3D7_13_v3-1465638-1465870
Pf3D7_13_v3-1724812-1725080	Pf3D7_13_v3-1724844-1725047
Pf3D7_13_v3-1725184-1725456	Pf3D7_13_v3-1725216-1725423
Pf3D7_13_v3-1725463-1725721	Pf3D7_13_v3-1725489-1725698
Pf3D7_13_v3-2814606-2814855	Pf3D7_13_v3-2814630-2814826
Pf3D7_13_v3-2816310-2816554	Pf3D7_13_v3-2816333-2816526
Pf3D7_13_v3-2840462-2840736	Pf3D7_13_v3-2840494-2840703
Pf3D7_13_v3-2841390-2841688	Pf3D7_13_v3-2841410-2841661
Pf3D7_13_v3-2844334-2844629	Pf3D7_13_v3-2844354-2844599
Pf3D7_14_v3-293575-293829	Pf3D7_14_v3-0293607-0293796
Pf3D7_14_v3-294506-294753	Pf3D7_14_v3-0294537-0294730
Pf3D7_14_v3-297583-297856	Pf3D7_14_v3-0297615-0297824
Pf3D7_14_v3-298368-298636	Pf3D7_14_v3-0298400-0298603
PKNH_12_v2-198869-199113	PKNH_12_v2-0198893-0199083
PmUG01_12_v1-1397996-1398245	PmUG01_12_v1-1398020-1398213
PocGH01_12_v1-1106456-1106697	PocGH01_12_v1-1106482-1106671
PvP01_12_v1-1184983-1185208	PvP01_12_v1-1185007-1185184
