new_name	old_name
Pf3D7_01_v3-0145420-0145630	Pf3D7_01_v3-145388-145662
Pf3D7_01_v3-0162888-0163092	Pf3D7_01_v3-162867-163115
Pf3D7_01_v3-0181544-0181729	Pf3D7_01_v3-181512-181761
Pf3D7_01_v3-0455826-0456021	Pf3D7_01_v3-455794-456054
Pf3D7_01_v3-0528889-0529073	Pf3D7_01_v3-528859-529104
Pf3D7_01_v3-0535994-0536206	Pf3D7_01_v3-535965-536239
Pf3D7_02_v3-0290610-0290789	Pf3D7_02_v3-290580-290821
Pf3D7_02_v3-0291801-0291984	Pf3D7_02_v3-291770-292017
Pf3D7_02_v3-0470469-0470676	Pf3D7_02_v3-470437-470709
Pf3D7_02_v3-0503071-0503260	Pf3D7_02_v3-503040-503288
Pf3D7_02_v3-0628973-0629143	Pf3D7_02_v3-628941-629172
Pf3D7_02_v3-0630673-0630874	Pf3D7_02_v3-630641-630907
Pf3D7_03_v3-0085539-0085723	Pf3D7_03_v3-85507-85756
Pf3D7_03_v3-0515440-0515629	Pf3D7_03_v3-515418-515657
Pf3D7_03_v3-0653993-0654177	Pf3D7_03_v3-653961-654206
Pf3D7_03_v3-0855455-0855664	Pf3D7_03_v3-855426-855697
Pf3D7_03_v3-0891585-0891794	Pf3D7_03_v3-891553-891827
Pf3D7_04_v3-0109961-0110151	Pf3D7_04_v3-109939-110184
Pf3D7_04_v3-0115483-0115652	Pf3D7_04_v3-115455-115684
Pf3D7_04_v3-0133612-0133801	Pf3D7_04_v3-133581-133830
Pf3D7_04_v3-0133960-0134121	Pf3D7_04_v3-133928-134154
Pf3D7_04_v3-0140349-0140516	Pf3D7_04_v3-140317-140548
Pf3D7_04_v3-0141761-0141957	Pf3D7_04_v3-141741-141990
Pf3D7_04_v3-0284153-0284333	Pf3D7_04_v3-284121-284364
Pf3D7_04_v3-0316623-0316825	Pf3D7_04_v3-316593-316858
Pf3D7_04_v3-0544486-0544685	Pf3D7_04_v3-544454-544718
Pf3D7_04_v3-0648096-0648299	Pf3D7_04_v3-648065-648332
Pf3D7_04_v3-0900558-0900729	Pf3D7_04_v3-900526-900759
Pf3D7_04_v3-1005970-1006155	Pf3D7_04_v3-1005938-1006187
Pf3D7_04_v3-1037676-1037859	Pf3D7_04_v3-1037644-1037891
Pf3D7_04_v3-1113421-1113612	Pf3D7_04_v3-1113397-1113639
Pf3D7_05_v3-0213059-0213219	Pf3D7_05_v3-213027-213251
Pf3D7_05_v3-0350840-0351019	Pf3D7_05_v3-350808-351052
