new_name	old_name
PmUG01_12_v1-1398020-1398213	PmUG01_12_v1-1397996-1398245-1AB
PocGH01_12_v1-1106482-1106671	PocGH01_12_v1-1106456-1106697-1AB
PvP01_12_v1-1185007-1185184	PvP01_12_v1-1184983-1185208-1AB
Pf3D7_08_v3-1365741-1365924	Pf3D7_08_v3-1365709-1365954-1B
Pf3D7_08_v3-1366658-1366823	Pf3D7_08_v3-1366626-1366856-1B
Pf3D7_08_v3-1370632-1370825	Pf3D7_08_v3-1370603-1370853-1B
Pf3D7_08_v3-1375056-1375259	Pf3D7_08_v3-1375025-1375284-1B
Pf3D7_08_v3-1386821-1387013	Pf3D7_08_v3-1386795-1387043-1B
Pf3D7_11_v3-1294305-1294547	Pf3D7_11_v3-1294284-1294580-1B
Pf3D7_13_v3-1465035-1465280	Pf3D7_13_v3-1465010-1465307-1B
Pf3D7_13_v3-2770648-2770821	Pf3D7_13_v3-2770621-2770854-1B
Pf3D7_13_v3-2780366-2780542	Pf3D7_13_v3-2780346-2780575-1B
Pf3D7_13_v3-2814630-2814826	Pf3D7_13_v3-2814606-2814855-1B
Pf3D7_13_v3-2816333-2816526	Pf3D7_13_v3-2816310-2816554-1B
Pf3D7_13_v3-2840494-2840703	Pf3D7_13_v3-2840462-2840736-1B
Pf3D7_13_v3-2841410-2841661	Pf3D7_13_v3-2841390-2841688-1B2
Pf3D7_13_v3-2844354-2844599	Pf3D7_13_v3-2844334-2844629-1B2
Pf3D7_03_v3-0221217-0221388	Pf3D7_03_v3-221185-221419-1B
Pf3D7_03_v3-0221484-0221679	Pf3D7_03_v3-221463-221712-1B
Pf3D7_01_v3-0194763-0194942	Pf3D7_01_v3-194742-194973-1B
Pf3D7_04_v3-0748128-0748326	Pf3D7_04_v3-748105-748359-1B
Pf3D7_04_v3-0748406-0748581	Pf3D7_04_v3-748374-748611-1B
Pf3D7_05_v3-0958105-0958317	Pf3D7_05_v3-958079-958350-1B
Pf3D7_05_v3-0958394-0958580	Pf3D7_05_v3-958372-958608-1B
Pf3D7_05_v3-0958952-0959135	Pf3D7_05_v3-958920-959168-1B
Pf3D7_05_v3-0960841-0961021	Pf3D7_05_v3-960810-961048-1B
Pf3D7_05_v3-0961543-0961730	Pf3D7_05_v3-961511-961758-1B
Pf3D7_07_v3-0403499-0403683	Pf3D7_07_v3-403479-403716-1B
Pf3D7_07_v3-0403833-0404021	Pf3D7_07_v3-403801-404052-1B
Pf3D7_07_v3-0404357-0404564	Pf3D7_07_v3-404325-404590-1B
Pf3D7_07_v3-0405597-0405815	Pf3D7_07_v3-405570-405844-1B
Pf3D7_07_v3-0896645-0896816	Pf3D7_07_v3-896613-896849-1B
Pf3D7_08_v3-0549609-0549776	Pf3D7_08_v3-549583-549807-1B
Pf3D7_08_v3-0549988-0550182	Pf3D7_08_v3-549960-550215-1B
Pf3D7_12_v3-2092558-2092765	Pf3D7_12_v3-2092529-2092798-1B
Pf3D7_13_v3-0748286-0748477	Pf3D7_13_v3-748254-748510-1B
Pf3D7_13_v3-0958275-0958482	Pf3D7_13_v3-958247-958510-1B
Pf3D7_13_v3-1724925-1725137	Pf3D7_13_v3-1724895-1725166-1B
Pf3D7_13_v3-1725231-1725441	Pf3D7_13_v3-1725208-1725471-1B
Pf3D7_13_v3-1725493-1725694	Pf3D7_13_v3-1725464-1725719-1B
Pf3D7_13_v3-2504513-2504701	Pf3D7_13_v3-2504481-2504734-1B
Pf3D7_14_v3-0293607-0293796	Pf3D7_14_v3-293575-293829-1B
Pf3D7_14_v3-0294537-0294730	Pf3D7_14_v3-294506-294753-1B
Pf3D7_14_v3-0297615-0297824	Pf3D7_14_v3-297583-297856-1B
Pf3D7_14_v3-0298400-0298603	Pf3D7_14_v3-298368-298636-1B
Pf3D7_14_v3-1956088-1956301	Pf3D7_14_v3-1956056-1956330-1B
Pf3D7_14_v3-2481064-2481245	Pf3D7_14_v3-2481033-2481276-1B
