Well,Plate,SampleID
A01,Test Plate,SDSI1-A1-100field-092024-SI-XI
B01,Test Plate,SDSI1-B1-100field-092024-SI-XI
C01,Test Plate,SDSI2-C1-100field-092024-SI-XI
D01,Test Plate,SDSI2-D1-100field-092024-SI-XI
E01,Test Plate,SDSI3-E1-100field-092024-SI-XI
F01,Test Plate,SDSI3-F1-100field-092024-SI-XI
G01,Test Plate,SDSI4-G1-100field-092024-SI-XI
H01,Test Plate,SDSI4-H1-100field-092024-SI-XI
A02,Test Plate,SDSI5-A2-100field-092024-SI-XI
B02,Test Plate,SDSI5-B2-100field-092024-SI-XI
C02,Test Plate,SDSI7-C2-100field-092024-SI-XI
D02,Test Plate,SDSI7-D2-100field-092024-SI-XI
E02,Test Plate,SDSI8-E2-100field-092024-SI-XI
F02,Test Plate,SDSI8-F2-100field-092024-SI-XI
G02,Test Plate,SDSI9-G2-100field-092024-SI-XI
H02,Test Plate,SDSI9-H2-100field-092024-SI-XI
H04,Test Plate,negcontrol-H4-H2O-092024-SI-XI
F05,Test Plate,SDSI1andSDSI2-F5-100templatecontrol-092024-SI-XI
G05,Test Plate,SDSI1andSDSI2-G5-100templatecontrol-092024-SI-XI
H05,Test Plate,SDSI1_3_4-H5-100templatecontrol-092024-SI-XI
A06,Test Plate,SDSI1_3_4-A6-100templatecontrol-092024-SI-XI
