old_name	new_name	pool
PKNH_12_v2-198869-199113-1AB	PKNH_12_v2-0198893-0199083	D1.1,M1.1,R1.1
PKNH_MIT_v2-2269-2518-6	PKNH_MIT_v2-0002298-0002488	M1.addon
Pf3D7_01_v3-145388-145662-1A	Pf3D7_01_v3-0145420-0145630	D1.1
Pf3D7_01_v3-145416-145660-2	Pf3D7_01_v3-0145448-0145627	v2
Pf3D7_01_v3-145416-145655-1	Pf3D7_01_v3-0145449-0145622	v1
Pf3D7_01_v3-162867-163115-1A	Pf3D7_01_v3-0162888-0163092	D1.1
Pf3D7_01_v3-179866-180151-2	Pf3D7_01_v3-0179891-0180120	v2
Pf3D7_01_v3-179874-180148-1	Pf3D7_01_v3-0179903-0180115	v1
Pf3D7_01_v3-181512-181761-1A	Pf3D7_01_v3-0181544-0181729	D1.1
Pf3D7_01_v3-181524-181699-1	Pf3D7_01_v3-0181557-0181673	v1
Pf3D7_01_v3-181528-181703-2	Pf3D7_01_v3-0181559-0181674	v2
Pf3D7_01_v3-194742-194973-1B	Pf3D7_01_v3-0194763-0194942	R1.1,R1.2
Pf3D7_01_v3-455794-456054-1A	Pf3D7_01_v3-0455826-0456021	D1.1
Pf3D7_01_v3-495940-496171-2	Pf3D7_01_v3-0495969-0496143	v2
Pf3D7_01_v3-495941-496171-1	Pf3D7_01_v3-0495971-0496143	v1
Pf3D7_01_v3-500912-501201-2	Pf3D7_01_v3-0500944-0501178	v2
Pf3D7_01_v3-512169-512418-2	Pf3D7_01_v3-0512198-0512388	v2
Pf3D7_01_v3-512168-512418-1	Pf3D7_01_v3-0512199-0512388	v1
Pf3D7_01_v3-517527-517806-2	Pf3D7_01_v3-0517559-0517773	v2
Pf3D7_01_v3-528859-529104-1A	Pf3D7_01_v3-0528889-0529073	D1.1
Pf3D7_01_v3-529027-529276-2	Pf3D7_01_v3-0529052-0529245	v2
Pf3D7_01_v3-531656-531930-1	Pf3D7_01_v3-0531682-0531900	v1
Pf3D7_01_v3-531657-531930-2	Pf3D7_01_v3-0531684-0531900	v2
Pf3D7_01_v3-532660-532872-2	Pf3D7_01_v3-0532688-0532844	v2
Pf3D7_01_v3-532660-532872-1	Pf3D7_01_v3-0532690-0532844	v1
Pf3D7_01_v3-533904-534192-2	Pf3D7_01_v3-0533936-0534159	v2
Pf3D7_01_v3-534182-534397-1	Pf3D7_01_v3-0534215-0534368	v1
Pf3D7_01_v3-534908-535143-1	Pf3D7_01_v3-0534941-0535110	v1
Pf3D7_01_v3-534909-535147-2	Pf3D7_01_v3-0534941-0535114	v2
Pf3D7_01_v3-535784-536038-2	Pf3D7_01_v3-0535811-0536008	v2
Pf3D7_01_v3-535965-536239-1A	Pf3D7_01_v3-0535994-0536206	D1.1
Pf3D7_02_v3-109769-110018-2	Pf3D7_02_v3-0109801-0109988	v2
Pf3D7_02_v3-109776-110014-1	Pf3D7_02_v3-0109807-0109982	v1
Pf3D7_02_v3-278144-278369-1	Pf3D7_02_v3-0278165-0278336	v1
Pf3D7_02_v3-278145-278369-2	Pf3D7_02_v3-0278165-0278336	v2
Pf3D7_02_v3-290580-290821-1A	Pf3D7_02_v3-0290610-0290789	D1.1
Pf3D7_02_v3-291770-292017-1A	Pf3D7_02_v3-0291801-0291984	D1.1
