amplicon	amplicon_start	amplicon_end	ampInsert_start	ampInsert_end	amplicon_length	ampInsert_length
Pf01_01_v3-0145449-0145622-1	0145416	0145655	0145449	0145622	239	173
Pf01_01_v3-0179903-0180115-1	0179874	0180148	0179903	0180115	274	212
Pf01_01_v3-0181557-0181673-1	0181524	0181699	0181557	0181673	175	116
Pf01_01_v3-0495971-0496143-1	0495941	0496171	0495971	0496143	230	172
Pf01_01_v3-0512199-0512388-1	0512168	0512418	0512199	0512388	250	189
Pf01_01_v3-0531682-0531900-1	0531656	0531930	0531682	0531900	274	218
Pf01_01_v3-0532690-0532844-1	0532660	0532872	0532690	0532844	212	154
Pf01_01_v3-0534215-0534368-1	0534182	0534397	0534215	0534368	215	153
Pf01_01_v3-0534941-0535110-1	0534908	0535143	0534941	0535110	235	169
Pf02_01_v3-0109807-0109982-1	0109776	0110014	0109807	0109982	238	175
Pf02_01_v3-0278165-0278336-1	0278144	0278369	0278165	0278336	225	171
Pf02_01_v3-0470492-0470676-1	0470459	0470709	0470492	0470676	250	184
Pf02_01_v3-0805822-0805942-1	0805795	0805970	0805822	0805942	175	120
Pf03_01_v3-0085440-0085646-1	0085407	0085679	0085440	0085646	272	206
Pf03_01_v3-0141963-0142181-1	0141936	0142210	0141963	0142181	274	218
Pf03_01_v3-0221363-0221495-1	0221330	0221521	0221363	0221495	191	132
Pf03_01_v3-0618396-0618581-1	0618367	0618613	0618396	0618581	246	185
Pf03_01_v3-0654002-0654175-1	0653972	0654204	0654002	0654175	232	173
Pf03_01_v3-0850816-0850989-1	0850788	0851017	0850816	0850989	229	173
Pf04_01_v3-0109912-0110087-1	0109879	0110114	0109912	0110087	235	175
Pf04_01_v3-0133491-0133701-1	0133463	0133726	0133491	0133701	263	210
Pf04_01_v3-0141778-0141945-1	0141751	0141975	0141778	0141945	224	167
Pf04_01_v3-0415653-0415826-1	0415623	0415859	0415653	0415826	236	173
Pf04_01_v3-0544718-0544861-1	0544686	0544888	0544718	0544861	202	143
Pf04_01_v3-0748230-0748436-1	0748200	0748469	0748230	0748436	269	206
Pf04_01_v3-0748533-0748696-1	0748500	0748725	0748533	0748696	225	163
Pf04_01_v3-0802525-0802713-1	0802494	0802740	0802525	0802713	246	188
Pf04_01_v3-1037634-1037844-1	1037602	1037868	1037634	1037844	266	210
Pf04_01_v3-1100656-1100831-1	1100629	1100863	1100656	1100831	234	175
Pf04_01_v3-1102389-1102578-1	1102362	1102606	1102389	1102578	244	189
Pf04_01_v3-1113450-1113604-1	1113422	1113632	1113450	1113604	210	154
Pf04_01_v3-1128489-1128673-1	1128461	1128705	1128489	1128673	244	184
Pf05_01_v3-0329378-0329550-1	0329351	0329578	0329378	0329550	227	172
Pf05_01_v3-0958059-0958221-1	0958027	0958254	0958059	0958221	227	162
Pf05_01_v3-0958389-0958506-1	0958362	0958539	0958389	0958506	177	117
Pf05_01_v3-1042162-1042281-1	1042129	1042311	1042162	1042281	182	119
Pf05_01_v3-1309609-1309744-1	1309581	1309771	1309609	1309744	190	135
Pf06_01_v3-0145343-0145501-1	0145315	0145530	0145343	0145501	215	158
Pf06_01_v3-0532195-0532378-1	0532167	0532405	0532195	0532378	238	183
Pf07_01_v3-0165235-0165422-1	0165202	0165450	0165235	0165422	248	187
Pf07_01_v3-0166035-0166167-1	0166002	0166197	0166035	0166167	195	132
Pf07_01_v3-0298886-0299005-1	0298857	0299033	0298886	0299005	176	119
Pf07_01_v3-0729975-0730088-1	0729943	0730118	0729975	0730088	175	113
Pf07_01_v3-1149415-1149585-1	1149387	1149613	1149415	1149585	226	170
Pf07_01_v3-1358694-1358911-1	1358666	1358941	1358694	1358911	275	217
Pf08_01_v3-0102326-0102500-1	0102298	0102527	0102326	0102500	229	174
Pf08_01_v3-0336468-0336647-1	0336438	0336674	0336468	0336647	236	179
Pf08_01_v3-0339168-0339357-1	0339139	0339389	0339168	0339357	250	189
Pf08_01_v3-0549993-0550218-1	0549962	0550251	0549993	0550218	289	225
Pf08_01_v3-0933023-0933143-1	0932995	0933173	0933023	0933143	178	120
Pf08_01_v3-1269320-1269456-1	1269294	1269485	1269320	1269456	191	136
Pf08_01_v3-1344686-1344819-1	1344653	1344847	1344686	1344819	194	133
Pf08_01_v3-1362891-1363087-1	1362863	1363120	1362891	1363087	257	196
