GeneID Gene CodonID chr start stop strand Locus amplicon_length ampInsert_length CodonStart
0104300 ubp1 1525 Pf3D7_01_v3 194840 194843 + Pf3D7_01_v3-194742-194973-1B 231 178 77
0304600 csp 293 Pf3D7_03_v3 221637 221640 - Pf3D7_03_v3-221463-221712-1B 249 194 153
0304600 csp 294 Pf3D7_03_v3 221634 221637 - Pf3D7_03_v3-221463-221712-1B 249 194 150
0304600 csp 295 Pf3D7_03_v3 221631 221634 - Pf3D7_03_v3-221463-221712-1B 249 194 147
0304600 csp 296 Pf3D7_03_v3 221628 221631 - Pf3D7_03_v3-221463-221712-1B 249 194 144
0304600 csp 297 Pf3D7_03_v3 221625 221628 - Pf3D7_03_v3-221463-221712-1B 249 194 141
0304600 csp 298 Pf3D7_03_v3 221622 221625 - Pf3D7_03_v3-221463-221712-1B 249 194 138
0304600 csp 299 Pf3D7_03_v3 221619 221622 - Pf3D7_03_v3-221463-221712-1B 249 194 135
0304600 csp 300 Pf3D7_03_v3 221616 221619 - Pf3D7_03_v3-221463-221712-1B 249 194 132
0304600 csp 301 Pf3D7_03_v3 221613 221616 - Pf3D7_03_v3-221463-221712-1B 249 194 129
0304600 csp 302 Pf3D7_03_v3 221610 221613 - Pf3D7_03_v3-221463-221712-1B 249 194 126
0304600 csp 314 Pf3D7_03_v3 221574 221577 - Pf3D7_03_v3-221463-221712-1B 249 194 90
0304600 csp 317 Pf3D7_03_v3 221565 221568 - Pf3D7_03_v3-221463-221712-1B 249 194 81
0304600 csp 352 Pf3D7_03_v3 221460 221463 - Pf3D7_03_v3-221295-221532-2 237 183 133
0304600 csp 354 Pf3D7_03_v3 221454 221457 - Pf3D7_03_v3-221295-221532-2 237 183 127
0304600 csp 356 Pf3D7_03_v3 221448 221451 - Pf3D7_03_v3-221295-221532-2 237 183 121
0304600 csp 357 Pf3D7_03_v3 221445 221448 - Pf3D7_03_v3-221295-221532-2 237 183 118
0304600 csp 380 Pf3D7_03_v3 221376 221379 - Pf3D7_03_v3-221185-221419-1B 234 170 159
0304600 csp 380 Pf3D7_03_v3 221376 221379 - Pf3D7_03_v3-221295-221532-2 237 183 49
0323400 Ripr 511 Pf3D7_03_v3 982433 982436 - Pf3D7_03_v3-982299-982523-1B 224 159 102
0323400 Ripr 673 Pf3D7_03_v3 981947 981950 - Pf3D7_03_v3-981921-982191-1B 270 217 2
0323400 Ripr 755 Pf3D7_03_v3 981701 981704 - Pf3D7_03_v3-981574-981823-1B 249 190 95
0323400 Ripr 985 Pf3D7_03_v3 981011 981014 - Pf3D7_03_v3-980853-981120-2 267 206 126
0323400 Ripr 1039 Pf3D7_03_v3 980849 980852 - Pf3D7_03_v3-980765-980997-1B 232 167 53
0417200 dhfr 16 Pf3D7_04_v3 748132 748135 + Pf3D7_04_v3-748105-748359-1B 254 197 4
0417200 dhfr 51 Pf3D7_04_v3 748237 748240 + Pf3D7_04_v3-748105-748359-1B 254 197 109
0417200 dhfr 59 Pf3D7_04_v3 748261 748264 + Pf3D7_04_v3-748105-748359-1B 254 197 133
0417200 dhfr 108 Pf3D7_04_v3 748408 748411 + Pf3D7_04_v3-748374-748611-1B 237 174 2
0417200 dhfr 164 Pf3D7_04_v3 748576 748579 + Pf3D7_04_v3-748374-748611-1B 237 174 170
0417200 dhfr 185 Pf3D7_04_v3 748639 748642 + Pf3D7_04_v3-748585-748822-2 237 171 22
0423800 CyRPA 339 Pf3D7_04_v3 1077459 1077462 + Pf3D7_04_v3-1077327-1077562-1B 235 176 100
0424100 Rh5 147 Pf3D7_04_v3 1083502 1083505 - Pf3D7_04_v3-1083411-1083668-1B 257 192 60
0424100 Rh5 147 Pf3D7_04_v3 1083502 1083505 - Pf3D7_04_v3-1083299-1083563-2 264 198 171
0424100 Rh5 170 Pf3D7_04_v3 1083433 1083436 - Pf3D7_04_v3-1083299-1083563-2 264 198 102
0424100 Rh5 197 Pf3D7_04_v3 1083352 1083355 - Pf3D7_04_v3-1083299-1083563-2 264 198 21
